model: model_u_30a_with_param 准确度:0.772067604599419 f1:0.556481478322184
model: model_u_30a_with_price 准确度:0.798401691762735 f1:0.5650582385118539
model: model_u_30act_h30 准确度:0.8156977573719248 f1:0.5823789163963641
model: model_u_lst10_under 迭代次数:180 测试集精确率:0.6177802944507361 f1:0.3766831626194038
model: model_u_lst10_under 迭代次数:190 测试集精确率:0.6170413754014736 f1:0.3759857249755368
model: model_u_lst10_under 迭代次数:200 测试集精确率:0.6164772727272727 f1:0.375
model: model_u_lst10_under_prun 迭代次数:170 测试集精确率:0.6120976692563818 f1:0.3784742079377788
model: model_u_lst10_under_prun 迭代次数:170 测试集精确率:0.6143370531492339 f1:0.3740427247077791
model: model_u_lst10_under_prun 迭代次数:170 测试集精确率:0.6174749952821287 f1:0.37654640658265726
model: model_u_lst10_under_prun 迭代次数:170 测试集精确率:0.6168478260869565 f1:0.3688486536675952
model: model_u_lst10_under_prun 迭代次数:170 测试集精确率:0.6073042168674698 f1:0.3709751609935602
model: model_u_lst10_under_prun 迭代次数:170 测试集精确率:0.6277541553923464 f1:0.3764924075576678
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.0 f1:0.0
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.0 f1:0.0
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.0 f1:0.0
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:1.0 f1:0.4
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:1.0 f1:0.4
model: model_u_lst10_under_prun_test 迭代次数:170 训练集精确率:1.0 f1:1.0
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.0 f1:0.0
model: model_u_lst10_under_prun_test 迭代次数:170 训练集精确率:1.0 f1:0.8
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:1.0 f1:0.4
model: model_u_lst10_under_prun_test 迭代次数:170 训练集精确率:1.0 f1:0.6666666666666666
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.0 f1:0.0
model: model_u_lst10_under_prun_test 迭代次数:170 训练集精确率:1.0 f1:0.8
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.0 f1:0.0
model: model_u_lst10_under_prun_test 迭代次数:170 训练集精确率:1.0 f1:0.9090909090909091
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.0 f1:0.0
model: model_u_lst10_under_prun_test 迭代次数:170 训练集精确率:1.0 f1:0.6666666666666666
model: model_u_lst10_under_prun_test 迭代次数:170 测试集精确率:0.5 f1:0.3333333333333333
model: model_u_lst10_under_prun_test 迭代次数:170 训练集精确率:1.0 f1:0.9090909090909091
model: model_u_lst10_qcy_02 迭代次数:170 测试集精确率:0.6160060116475672 f1:0.3768315807619377
model: model_u_lst10_qcy_02 迭代次数:170 训练集精确率:0.8036284470246734 f1:0.5255065723912115
model: model_u_lst10_qcy_02 迭代次数:170 测试集精确率:0.6188764895025535 f1:0.3768065872056198
model: model_u_lst10_qcy_02 迭代次数:170 训练集精确率:0.7980103168754605 f1:0.5164536436474627
model: model_u_lst10_qcy_02 迭代次数:170 训练全集精确率:0.3486376897591851 f1:0.4092525141124059
model: model_u_lst10_qcy_02 迭代次数:100 测试集精确率:0.6156456173421301 f1:0.37572620074777113
model: model_u_lst10_qcy_02 迭代次数:100 训练集精确率:0.7534589228484327 f1:0.4683787264024879
model: model_u_lst10_qcy_02 迭代次数:100 训练全集精确率:0.31906739850665083 f1:0.3796481525064721
model: model_u_lst10_qcy_02 迭代次数:100 测试集精确率:0.6437068760409231 f1:0.5253398058252426
model: model_u_lst10_qcy_02 迭代次数:100 训练集精确率:0.759781432032579 f1:0.6186229040313949
model: model_u_lst10_qcy_02 迭代次数:100 训练全集精确率:0.4981951243633487 f1:0.41010298367729064
model: model_u_lst10_qcy_02 迭代次数:100 测试集精确率:0.6812707444286392 f1:0.6346289752650176
model: model_u_lst10_qcy_02 迭代次数:100 训练集精确率:0.7720228219965201 f1:0.7190939243178048
model: model_u_lst10_qcy_02 迭代次数:100 训练全集精确率:0.6493349156900559 f1:0.38346303786009434
迭代次数：100,正样本率:0.2
model: model_u_lst10_qcy_02 迭代次数:100 测试集精确率:0.6213778545384763 f1:0.3745301023653924
model: model_u_lst10_qcy_02 迭代次数:100 训练集精确率:0.7582426312862477 f1:0.46609527995507044
model: model_u_lst10_qcy_02 迭代次数:100 训练全集精确率:0.3160263066805123 f1:0.3780258780036969
迭代次数：100,正样本率:0.30000000000000004
model: model_u_lst10_qcy_02 迭代次数:100 测试集精确率:0.6553964625195524 f1:0.5312850524262375
model: model_u_lst10_qcy_02 迭代次数:100 训练集精确率:0.7588265306122449 f1:0.6216250104488841
model: model_u_lst10_qcy_02 迭代次数:100 训练全集精确率:0.5023982594076052 f1:0.41163184069523645
迭代次数：100,正样本率:0.4000000000000001
model: model_u_lst10_qcy_02 迭代次数:100 测试集精确率:0.6821825205214872 f1:0.6293095768374165
model: model_u_lst10_qcy_02 迭代次数:100 训练集精确率:0.7827257156838757 f1:0.7260416469653698
model: model_u_lst10_qcy_02 迭代次数:100 训练全集精确率:0.6492112940711071 f1:0.3884118425821148
迭代次数：105,正样本率:0.2
model: model_u_lst10_qcy_02 迭代次数:105 测试集精确率:0.6226008617312965 f1:0.369952286745025
model: model_u_lst10_qcy_02 迭代次数:105 训练集精确率:0.7631725343717715 f1:0.46902244255048964
model: model_u_lst10_qcy_02 迭代次数:105 训练全集精确率:0.3160263066805123 f1:0.38019601719240326
迭代次数：105,正样本率:0.30000000000000004
model: model_u_lst10_qcy_02 迭代次数:105 测试集精确率:0.647959808846955 f1:0.5195774993859001
model: model_u_lst10_qcy_02 迭代次数:105 训练集精确率:0.7648309479361128 f1:0.6205402221474251
model: model_u_lst10_qcy_02 迭代次数:105 训练全集精确率:0.49540127577510756 f1:0.41217793777320655
迭代次数：105,正样本率:0.4000000000000001
